19 13
	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0
0.0	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36	3588.36
5.0	3648.78	3648.59	3648.04	3647.13	3645.92	3644.46	3642.82	3641.10	3639.41	3637.89	3636.67	3635.88	3635.60
10.0	3729.38	3728.88	3727.39	3724.94	3721.57	3717.37	3712.46	3707.04	3701.38	3695.91	3691.19	3687.92	3686.74
15.0	3812.87	3812.19	3810.14	3806.74	3801.96	3795.84	3788.41	3779.79	3770.19	3760.11	3750.48	3743.01	3740.09
20.0	3885.54	3884.87	3882.88	3879.50	3874.70	3868.38	3860.45	3850.84	3839.50	3826.58	3812.70	3799.94	3793.97
25.0	3940.77	3940.25	3938.66	3935.96	3932.08	3926.91	3920.28	3911.98	3901.76	3889.32	3874.49	3857.87	3846.76
30.0	3979.77	3979.36	3978.13	3976.06	3973.13	3969.28	3964.43	3958.40	3950.91	3941.56	3929.75	3914.70	3896.94
35.0	4009.93	4009.51	4008.27	4006.23	4003.43	3999.93	3995.79	3991.04	3985.65	3979.42	3971.92	3962.41	3953.09
40.0	4041.74	4041.20	4039.59	4036.93	4033.29	4028.76	4023.53	4017.82	4011.91	4006.07	4000.35	3994.28	3987.90
45.0	4085.38	4084.71	4082.68	4079.26	4074.42	4068.17	4060.61	4052.03	4042.98	4034.22	4026.62	4020.99	4018.57
50.0	4147.66	4147.02	4145.00	4141.38	4135.76	4127.72	4116.92	4103.44	4088.06	4072.41	4058.71	4049.31	4045.95
55.0	4230.11	4229.79	4228.61	4225.79	4220.07	4209.81	4193.57	4170.98	4143.56	4114.79	4089.32	4071.74	4065.46
60.0	4327.92	4328.39	4329.26	4328.77	4323.92	4310.93	4286.71	4250.74	4206.17	4159.19	4117.37	4087.77	4076.61
65.0	4430.12	4432.03	4436.75	4441.05	4439.32	4424.72	4392.14	4341.26	4277.48	4210.16	4149.63	4103.89	4079.14
70.0	4520.75	4524.92	4535.92	4548.76	4554.54	4542.43	4504.73	4441.40	4360.62	4275.62	4200.73	4148.28	4128.51
75.0	4582.03	4589.24	4609.02	4634.87	4654.41	4652.02	4616.29	4547.03	4455.51	4359.59	4278.35	4226.69	4209.74
80.0	4600.01	4610.59	4640.50	4682.65	4722.05	4738.10	4714.36	4648.96	4555.66	4456.70	4374.36	4323.21	4306.51
85.0	4570.81	4584.34	4623.59	4682.07	4743.88	4784.87	4783.18	4732.95	4648.21	4554.09	4474.84	4425.09	4408.60
90.0	4502.08	4517.61	4563.63	4635.00	4716.35	4782.49	4808.18	4782.49	4716.35	4635.00	4563.63	4517.61	4502.08
