0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0
0.0	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95	3572.95
5.0	3529.54	3529.78	3530.48	3531.60	3533.08	3534.86	3536.83	3538.86	3540.82	3542.56	3543.94	3544.82	3545.13
10.0	3493.69	3494.81	3497.54	3501.94	3507.83	3514.93	3522.88	3531.26	3539.55	3547.15	3553.37	3557.50	3558.95
15.0	3467.32	3469.34	3475.31	3484.94	3497.76	3513.15	3530.38	3548.60	3566.83	3583.92	3598.41	3608.45	3612.11
20.0	3450.86	3454.35	3464.60	3481.02	3502.67	3528.37	3556.76	3586.44	3615.97	3643.81	3668.07	3685.84	3692.71
25.0	3445.15	3450.39	3465.72	3490.04	3521.65	3558.51	3598.40	3639.16	3678.81	3715.61	3747.83	3772.73	3783.37
30.0	3450.43	3457.59	3478.43	3511.13	3552.97	3600.72	3651.06	3700.91	3747.74	3789.66	3825.34	3853.30	3866.81
35.0	3466.48	3475.57	3501.87	3542.65	3593.93	3651.10	3709.62	3765.55	3815.86	3858.63	3892.94	3918.38	3930.78
40.0	3492.68	3503.50	3534.59	3582.18	3640.84	3704.54	3767.63	3825.56	3875.24	3915.02	3944.43	3963.48	3970.71
45.0	3528.00	3540.14	3574.76	3626.87	3689.54	3755.36	3817.87	3872.46	3916.65	3949.82	3972.45	3985.50	3989.75
50.0	3571.13	3584.06	3620.56	3674.40	3737.15	3800.31	3857.27	3904.26	3940.28	3966.14	3983.38	3993.30	3996.56
55.0	3620.51	3633.72	3670.59	3723.72	3783.49	3841.06	3890.54	3929.59	3958.52	3978.83	3992.15	3999.73	4002.20
60.0	3674.40	3687.53	3723.72	3774.64	3830.04	3881.41	3924.06	3956.91	3980.92	3997.73	4008.80	4015.16	4017.27
65.0	3731.02	3743.85	3778.76	3826.76	3877.44	3923.02	3960.04	3988.30	4009.22	4024.59	4036.15	4045.21	4049.79
70.0	3788.57	3800.94	3834.21	3878.88	3924.65	3964.69	3996.57	4020.78	4038.98	4053.12	4065.07	4079.81	4100.61
75.0	3845.28	3857.08	3888.32	3929.13	3969.52	4003.62	4029.93	4049.30	4063.23	4073.09	4080.02	4084.72	4086.70
80.0	3899.52	3910.57	3939.26	3975.40	4009.49	4036.75	4056.44	4069.44	4076.68	4078.50	4074.92	4067.91	4064.01
85.0	3949.77	3959.82	3985.22	4015.56	4042.15	4061.46	4073.37	4078.57	4077.30	4069.27	4055.14	4039.91	4033.08
90.0	3994.68	4003.39	4024.46	4047.55	4065.35	4075.80	4079.18	4075.80	4065.35	4047.55	4024.46	4003.39	3994.68
